
Date,ModelPrediction,ActualValue,Difference,Difference%,,
2012-05-20,13901.882838,13885.275812,16.607025,0.12
2012-09-02,14290.768090,14334.458377,-43.690288,0.30
2012-09-16,14170.790140,14116.042424,54.747716,0.39
2012-04-29,13264.088080,13341.939822,-77.851742,0.58
2012-06-17,14525.886083,14631.211990,-105.325907,0.72
2012-09-09,14339.615925,14227.741508,111.874417,0.79
2012-05-13,13962.688831,13841.218610,121.470221,0.88
2012-06-10,14549.901223,14736.944981,-187.043758,1.27
2012-08-05,13765.117714,13580.951166,184.166548,1.36
2012-07-08,14467.416039,14256.616932,210.799107,1.48
2012-10-28,13786.003001,13584.418693,201.584308,1.48
2012-05-06,13521.039749,13226.167726,294.872023,2.23
2012-06-03,14196.228537,14525.867037,-329.638500,2.27
2012-07-29,14245.668097,13876.783337,368.884760,2.66
2012-06-24,14070.209496,14456.072308,-385.862812,2.67
2012-07-01,14119.808743,14539.544979,-419.736236,2.89
2012-09-30,13634.854312,13237.123437,397.730876,3.00
2012-08-12,14470.281256,14037.398195,432.883061,3.08
2012-07-22,14174.012319,13735.922510,438.089809,3.19
2012-10-07,13634.509864,13207.163907,427.345957,3.24
2012-10-21,14036.781826,13521.874281,514.907545,3.81
2012-05-27,13521.019281,14078.876809,-557.857529,3.96
2012-08-19,13474.180032,14052.098069,-577.918037,4.11
2012-08-26,14550.417199,13964.657943,585.759255,4.19
2012-10-14,13204.808476,13832.804041,-627.995564,4.54
2012-07-15,14183.091712,14999.542681,-816.450969,5.44
2012-09-23,13842.223487,13062.297582,779.925905,5.97
2012-04-22,14741.598609,13796.965723,944.632887,6.85
2012-04-15,13705.270496,15023.188036,-1317.917540,8.77
